TSDate,Month,Year,serieNames,sales
31-01-1900,5,2014,serie_2,5
31-01-1900,5,2014,serie_1,0
01-01-1900,6,2014,serie_2,972
01-01-1900,6,2014,serie_1,3065
02-01-1900,6,2014,serie_2,1104
02-01-1900,6,2014,serie_1,3467
03-01-1900,6,2014,serie_2,1004
03-01-1900,6,2014,serie_1,3222
04-01-1900,6,2014,serie_1,3378
04-01-1900,6,2014,serie_2,1074
05-01-1900,6,2014,serie_2,1004
05-01-1900,6,2014,serie_1,3123
06-01-1900,6,2014,serie_2,724
06-01-1900,6,2014,serie_1,2189
07-01-1900,6,2014,serie_1,0
07-01-1900,6,2014,serie_2,5
08-01-1900,6,2014,serie_1,841
08-01-1900,6,2014,serie_2,444
09-01-1900,6,2014,serie_1,2649
09-01-1900,6,2014,serie_2,773
10-01-1900,6,2014,serie_1,3446
10-01-1900,6,2014,serie_2,1138
11-01-1900,6,2014,serie_2,1030
